name,address,contacts,coords,category,lat,lon,schedule,query,city,rating,category_type,activity_score,completeness_score,popularity_score,capacity_score,target_score,commercial_score,final_rating,urgency
"Кудыкина гора, загородный отель","Самотлорская дорога 11 километр, 1",,,,,,,Отель,Астана,6,Стандарт,1,1.5,2.4,1,1.5,1.8,9.2,🔥 Горячий лид
"Park side inn, СПА-отель, пространство для мероприятий","Индустриальная улица, 46",,,,,,,Отель,Астана,5,Стандарт,1,1.5,2.4,1,1.5,1.8,9.2,🔥 Горячий лид
"Grace, мотель-сауна","улица Кузоваткина, 39 ст15",,,,,,,Отель,Астана,5,Стандарт,1,1.5,2.4,1,1.5,1.8,9.2,🔥 Горячий лид
"РЖД, Комнаты отдыха","Северная улица, 37",,,,,,,Отель,Астана,5,Стандарт,1,1.5,2.4,1,1.5,1.8,9.2,🔥 Горячий лид
"Форт, спорт-отель","улица Чапаева, 3",,,,,,,Отель,Астана,5,Стандарт,1,1.5,2.4,1,1.5,1.8,9.2,🔥 Горячий лид
